split,idx,Path,corruption,severity,seed
cal,4586,CheXpert-v1.0-small/train/patient06071/study1/view1_frontal.jpg,brightness,1,1205872221
cal,4503,CheXpert-v1.0-small/train/patient42251/study3/view1_frontal.jpg,blur,2,1215119026
cal,505,CheXpert-v1.0-small/train/patient17597/study2/view1_frontal.jpg,jpeg,2,1467726507
cal,2960,CheXpert-v1.0-small/train/patient60000/study1/view1_frontal.jpg,occlusion,3,79719398
cal,4077,CheXpert-v1.0-small/train/patient06983/study1/view1_frontal.jpg,occlusion,2,1942254014
cal,603,CheXpert-v1.0-small/train/patient63345/study2/view1_frontal.jpg,occlusion,2,671735625
cal,898,CheXpert-v1.0-small/train/patient10105/study9/view1_frontal.jpg,jpeg,2,899576667
cal,793,CheXpert-v1.0-small/train/patient23196/study3/view1_frontal.jpg,screen,3,1614707616
cal,4206,CheXpert-v1.0-small/train/patient25044/study14/view1_frontal.jpg,blur,1,2125849734
cal,3550,CheXpert-v1.0-small/train/patient37682/study4/view1_frontal.jpg,jpeg,3,1202998469
cal,2300,CheXpert-v1.0-small/train/patient45268/study6/view1_frontal.jpg,blur,1,273590433
cal,4697,CheXpert-v1.0-small/train/patient00588/study1/view1_frontal.jpg,occlusion,1,178737034
cal,1103,CheXpert-v1.0-small/train/patient05322/study1/view1_frontal.jpg,blur,1,440965108
cal,2105,CheXpert-v1.0-small/train/patient39795/study2/view1_frontal.jpg,blur,2,1884702511
cal,4760,CheXpert-v1.0-small/train/patient55818/study1/view1_frontal.jpg,occlusion,3,1324419101
cal,2634,CheXpert-v1.0-small/train/patient00662/study1/view1_frontal.jpg,blur,1,721624171
cal,4656,CheXpert-v1.0-small/train/patient42561/study2/view1_frontal.jpg,brightness,1,213161904
cal,175,CheXpert-v1.0-small/train/patient52696/study2/view1_frontal.jpg,brightness,1,198120469
cal,1744,CheXpert-v1.0-small/train/patient20942/study1/view1_frontal.jpg,brightness,1,749514264
cal,188,CheXpert-v1.0-small/train/patient14785/study4/view1_frontal.jpg,screen,2,1260167801
cal,4199,CheXpert-v1.0-small/train/patient13162/study29/view1_frontal.jpg,brightness,2,476017501
cal,1623,CheXpert-v1.0-small/train/patient58592/study1/view1_frontal.jpg,brightness,1,1515928783
cal,4594,CheXpert-v1.0-small/train/patient17701/study1/view1_frontal.jpg,brightness,1,913695932
cal,2488,CheXpert-v1.0-small/train/patient36771/study9/view1_frontal.jpg,occlusion,3,1983864214
cal,2216,CheXpert-v1.0-small/train/patient05713/study4/view1_frontal.jpg,jpeg,2,1410154753
cal,2076,CheXpert-v1.0-small/train/patient12140/study1/view1_frontal.jpg,occlusion,1,459336059
cal,890,CheXpert-v1.0-small/train/patient34066/study2/view1_frontal.jpg,jpeg,2,1807106601
cal,714,CheXpert-v1.0-small/train/patient27994/study48/view1_frontal.jpg,jpeg,3,1744148428
cal,2448,CheXpert-v1.0-small/train/patient12768/study7/view1_frontal.jpg,occlusion,1,1599276048
cal,2256,CheXpert-v1.0-small/train/patient23852/study4/view1_frontal.jpg,jpeg,1,247660888
cal,4072,CheXpert-v1.0-small/train/patient47605/study2/view1_frontal.jpg,blur,3,1229235837
cal,1132,CheXpert-v1.0-small/train/patient32782/study4/view1_frontal.jpg,blur,1,1447999673
cal,1382,CheXpert-v1.0-small/train/patient35506/study1/view1_frontal.jpg,brightness,1,665690997
cal,1725,CheXpert-v1.0-small/train/patient47423/study1/view1_frontal.jpg,screen,3,693024918
cal,835,CheXpert-v1.0-small/train/patient62035/study1/view1_frontal.jpg,screen,3,2074482760
cal,2432,CheXpert-v1.0-small/train/patient30450/study4/view1_frontal.jpg,brightness,2,612694803
cal,1622,CheXpert-v1.0-small/train/patient21102/study3/view1_frontal.jpg,brightness,3,218339716
cal,3992,CheXpert-v1.0-small/train/patient05944/study1/view1_frontal.jpg,jpeg,3,1223909354
cal,829,CheXpert-v1.0-small/train/patient19520/study1/view1_frontal.jpg,occlusion,2,1629714571
cal,1833,CheXpert-v1.0-small/train/patient51901/study1/view1_frontal.jpg,jpeg,3,701810107
cal,154,CheXpert-v1.0-small/train/patient17489/study1/view1_frontal.jpg,screen,1,1915987918
cal,3048,CheXpert-v1.0-small/train/patient41328/study3/view1_frontal.jpg,brightness,3,613603376
cal,2101,CheXpert-v1.0-small/train/patient28760/study9/view1_frontal.jpg,screen,2,1961537195
cal,2829,CheXpert-v1.0-small/train/patient25524/study1/view1_frontal.jpg,blur,2,659815370
cal,2488,CheXpert-v1.0-small/train/patient36771/study9/view1_frontal.jpg,screen,2,483677413
cal,654,CheXpert-v1.0-small/train/patient17670/study2/view1_frontal.jpg,jpeg,3,1510040536
cal,4365,CheXpert-v1.0-small/train/patient47612/study3/view1_frontal.jpg,screen,2,1119493897
cal,196,CheXpert-v1.0-small/train/patient31954/study2/view1_frontal.jpg,occlusion,3,305801929
cal,162,CheXpert-v1.0-small/train/patient25176/study4/view1_frontal.jpg,jpeg,3,2022617998
cal,3741,CheXpert-v1.0-small/train/patient23271/study1/view2_frontal.jpg,brightness,2,412473591
cal,1904,CheXpert-v1.0-small/train/patient17457/study1/view1_frontal.jpg,blur,3,1369482169
cal,108,CheXpert-v1.0-small/train/patient32332/study2/view1_frontal.jpg,screen,2,2040739435
cal,3490,CheXpert-v1.0-small/train/patient30137/study1/view1_frontal.jpg,screen,3,20946328
cal,3152,CheXpert-v1.0-small/train/patient12013/study10/view1_frontal.jpg,blur,3,441058176
cal,3002,CheXpert-v1.0-small/train/patient51463/study3/view1_frontal.jpg,occlusion,3,362957043
cal,1272,CheXpert-v1.0-small/train/patient48669/study4/view1_frontal.jpg,brightness,3,1796848275
cal,2181,CheXpert-v1.0-small/train/patient50515/study2/view1_frontal.jpg,jpeg,3,633519214
cal,4084,CheXpert-v1.0-small/train/patient02461/study6/view1_frontal.jpg,jpeg,3,1975978628
cal,3533,CheXpert-v1.0-small/train/patient18326/study1/view1_frontal.jpg,blur,1,896009192
cal,2521,CheXpert-v1.0-small/train/patient06861/study18/view1_frontal.jpg,brightness,2,680892604
cal,2665,CheXpert-v1.0-small/train/patient35512/study1/view1_frontal.jpg,screen,3,1892594145
cal,4890,CheXpert-v1.0-small/train/patient25580/study3/view1_frontal.jpg,jpeg,1,613843532
cal,4434,CheXpert-v1.0-small/train/patient49997/study6/view1_frontal.jpg,brightness,2,931511725
cal,1012,CheXpert-v1.0-small/train/patient35957/study7/view1_frontal.jpg,screen,1,1541803247
cal,666,CheXpert-v1.0-small/train/patient17642/study7/view1_frontal.jpg,blur,2,345981641
cal,3475,CheXpert-v1.0-small/train/patient14701/study1/view1_frontal.jpg,occlusion,1,295258454
cal,4217,CheXpert-v1.0-small/train/patient42635/study1/view1_frontal.jpg,occlusion,3,1311117829
cal,4205,CheXpert-v1.0-small/train/patient16848/study4/view1_frontal.jpg,brightness,3,1730517796
cal,4151,CheXpert-v1.0-small/train/patient13227/study16/view1_frontal.jpg,brightness,3,1294327806
cal,113,CheXpert-v1.0-small/train/patient27628/study1/view1_frontal.jpg,brightness,1,305772348
cal,353,CheXpert-v1.0-small/train/patient28912/study4/view1_frontal.jpg,occlusion,2,641525961
cal,1150,CheXpert-v1.0-small/train/patient63335/study3/view1_frontal.jpg,screen,3,1966006328
cal,4965,CheXpert-v1.0-small/train/patient07480/study1/view1_frontal.jpg,screen,1,1442318488
cal,3245,CheXpert-v1.0-small/train/patient43399/study1/view1_frontal.jpg,brightness,1,494782933
cal,2577,CheXpert-v1.0-small/train/patient51822/study1/view1_frontal.jpg,occlusion,1,1695694349
cal,1090,CheXpert-v1.0-small/train/patient00210/study10/view1_frontal.jpg,jpeg,2,1708561919
cal,4395,CheXpert-v1.0-small/train/patient40738/study1/view1_frontal.jpg,occlusion,2,499707090
cal,2622,CheXpert-v1.0-small/train/patient17382/study8/view1_frontal.jpg,occlusion,3,1771684194
cal,645,CheXpert-v1.0-small/train/patient31891/study2/view1_frontal.jpg,screen,3,1601478540
cal,217,CheXpert-v1.0-small/train/patient25661/study10/view1_frontal.jpg,screen,1,743492242
cal,846,CheXpert-v1.0-small/train/patient05232/study47/view1_frontal.jpg,occlusion,3,115416435
cal,1212,CheXpert-v1.0-small/train/patient44498/study8/view1_frontal.jpg,occlusion,3,1429663160
cal,4879,CheXpert-v1.0-small/train/patient04050/study6/view1_frontal.jpg,blur,3,544834472
cal,3328,CheXpert-v1.0-small/train/patient05466/study7/view1_frontal.jpg,jpeg,3,956313517
cal,860,CheXpert-v1.0-small/train/patient34068/study2/view1_frontal.jpg,screen,1,734547740
cal,463,CheXpert-v1.0-small/train/patient37412/study3/view1_frontal.jpg,brightness,2,367029322
cal,3099,CheXpert-v1.0-small/train/patient41506/study8/view1_frontal.jpg,screen,3,335074388
cal,171,CheXpert-v1.0-small/train/patient01744/study11/view1_frontal.jpg,brightness,2,1998132800
