idx,corruption,severity,seed,Path
0,blur,1,0,00008270_015.png
0,blur,2,0,00008270_015.png
0,blur,3,0,00008270_015.png
0,brightness,1,0,00008270_015.png
0,brightness,2,0,00008270_015.png
0,brightness,3,0,00008270_015.png
0,jpeg,1,0,00008270_015.png
0,jpeg,2,0,00008270_015.png
0,jpeg,3,0,00008270_015.png
0,occlusion,1,0,00008270_015.png
0,occlusion,2,0,00008270_015.png
0,occlusion,3,0,00008270_015.png
0,screen,1,0,00008270_015.png
0,screen,2,0,00008270_015.png
0,screen,3,0,00008270_015.png
1,blur,1,1,00029855_001.png
1,blur,2,1,00029855_001.png
1,blur,3,1,00029855_001.png
1,brightness,1,1,00029855_001.png
1,brightness,2,1,00029855_001.png
1,brightness,3,1,00029855_001.png
1,jpeg,1,1,00029855_001.png
1,jpeg,2,1,00029855_001.png
1,jpeg,3,1,00029855_001.png
1,occlusion,1,1,00029855_001.png
1,occlusion,2,1,00029855_001.png
1,occlusion,3,1,00029855_001.png
1,screen,1,1,00029855_001.png
1,screen,2,1,00029855_001.png
1,screen,3,1,00029855_001.png
2,blur,1,2,00001297_000.png
2,blur,2,2,00001297_000.png
2,blur,3,2,00001297_000.png
2,brightness,1,2,00001297_000.png
2,brightness,2,2,00001297_000.png
2,brightness,3,2,00001297_000.png
2,jpeg,1,2,00001297_000.png
2,jpeg,2,2,00001297_000.png
2,jpeg,3,2,00001297_000.png
2,occlusion,1,2,00001297_000.png
2,occlusion,2,2,00001297_000.png
2,occlusion,3,2,00001297_000.png
2,screen,1,2,00001297_000.png
2,screen,2,2,00001297_000.png
2,screen,3,2,00001297_000.png
3,blur,1,3,00012359_002.png
3,blur,2,3,00012359_002.png
3,blur,3,3,00012359_002.png
3,brightness,1,3,00012359_002.png
3,brightness,2,3,00012359_002.png
3,brightness,3,3,00012359_002.png
3,jpeg,1,3,00012359_002.png
3,jpeg,2,3,00012359_002.png
3,jpeg,3,3,00012359_002.png
3,occlusion,1,3,00012359_002.png
3,occlusion,2,3,00012359_002.png
3,occlusion,3,3,00012359_002.png
3,screen,1,3,00012359_002.png
3,screen,2,3,00012359_002.png
3,screen,3,3,00012359_002.png
4,blur,1,4,00017951_001.png
4,blur,2,4,00017951_001.png
4,blur,3,4,00017951_001.png
4,brightness,1,4,00017951_001.png
4,brightness,2,4,00017951_001.png
4,brightness,3,4,00017951_001.png
4,jpeg,1,4,00017951_001.png
4,jpeg,2,4,00017951_001.png
4,jpeg,3,4,00017951_001.png
4,occlusion,1,4,00017951_001.png
4,occlusion,2,4,00017951_001.png
4,occlusion,3,4,00017951_001.png
4,screen,1,4,00017951_001.png
4,screen,2,4,00017951_001.png
4,screen,3,4,00017951_001.png
5,blur,1,5,00001232_002.png
5,blur,2,5,00001232_002.png
5,blur,3,5,00001232_002.png
5,brightness,1,5,00001232_002.png
5,brightness,2,5,00001232_002.png
5,brightness,3,5,00001232_002.png
5,jpeg,1,5,00001232_002.png
5,jpeg,2,5,00001232_002.png
